Site_N,Point,x,y
A09-05,2,121.3013333,24.84755278
A09-05,3,121.3039917,24.84745556
A09-05,4,121.3061583,24.84695556
A09-05,5,121.3085639,24.84724722
A09-05,6,121.3107389,24.84670278
A09-08,1,121.19125,25.08818
A09-08,2,121.19233,25.09006
A09-08,3,121.19383,25.09125
A09-08,4,121.19541,25.09249
A09-08,5,121.19539,25.09396
A09-08,6,121.19324,25.09537
A09-08,7,121.1907389,25.094025
A09-10,1,121.48966,25.07926
A09-10,2,121.49131,25.08146
A09-10,3,121.48736,25.08378
A09-10,4,121.48912,25.08829
A09-10,5,121.49353,25.08651
A09-10,6,121.4941,25.08439
A09-12,1,121.51704,25.05985
A09-12,2,121.51475,25.06194
A09-12,3,121.51522,25.06414
A09-12,4,121.51611,25.06661
A09-12,5,121.51553,25.07019
A09-12,6,121.51206,25.06817
A09-12,7,121.51289,25.06536
A09-12,8,121.51047,25.05867
A09-13,1,121.22623,25.0475
A09-13,3,121.22825,25.04772
A09-13,4,121.22719,25.04494
A09-13,5,121.22836,25.04367
A09-13,6,121.23047,25.04389
A09-13,7,121.23325,25.04383
A09-13,8,121.23672,25.04258
A09-13,9,121.23725,25.04042
A09-13,10,121.23867,25.0375
A09-15,1,121.44858,25.02419
A09-15,2,121.4475,25.02281
A09-15,3,121.44678,25.02119
A09-15,4,121.44528,25.01967
A09-15,5,121.44436,25.01789
A09-15,6,121.44325,25.01528
A09-15,7,121.445,25.02381
A09-15,8,121.44297,25.02233
A09-15,9,121.44117,25.02008
A09-15,10,121.44097,25.01742
A09-16,1,121.16467,25.00408
A09-16,2,121.16434,25.0067
A09-16,3,121.1631,25.00908
A09-16,4,121.16145,25.01125
A09-16,5,121.16043,25.01401
A09-16,6,121.16086,25.01546
A09-16,7,121.16129,25.01704
A09-16,8,121.16141,25.01855
A09-16,9,121.165426,25.00095
A09-16,10,121.16478,25.00241
A09-18,1,121.3704139,24.98961944
A09-18,2,121.3718611,24.99106944
A09-18,3,121.3742833,24.99106944
A09-18,4,121.3775278,24.991
A09-18,5,121.3784278,24.99225278
A09-18,6,121.3773333,24.99375833
A09-18,7,121.3749361,24.99361111
A09-18,8,121.3745944,24.99589167
A09-19,6,121.2890306,24.96658056
A09-20,1,121.3126167,24.94177778
A09-20,2,121.313075,24.94353333
A09-20,3,121.3108667,24.94264722
A09-20,6,121.31023,24.94801
A09-20,7,121.30904,24.94986
A09-20,8,121.30791,24.94806
A09-20,9,121.30818,24.94625
A09-20,10,121.3104417,24.94549722
A09-22,1,121.1633611,24.87225556
A09-22,3,121.1618056,24.86872222
A09-22,4,121.1619722,24.86663889
A09-22,5,121.1618889,24.86483333
A09-22,6,121.1613889,24.86261111
A09-29,1,121.49028,25.13723
A09-29,2,121.48973,25.13556
A09-29,3,121.48916,25.13389
A09-29,4,121.48889,25.13194
A09-29,5,121.48834,25.13028
A09-29,6,121.48778,25.12861
A09-29,7,121.48722,25.12694
A09-29,8,121.4866694,25.12499722
A09-29,9,121.48639,25.12334
A09-29,10,121.4858333,25.12138889
A09-30,1,121.4656,25.11515
A09-30,2,121.46775,25.11515278
A09-30,3,121.4702778,25.11528056
A09-30,4,121.4727778,25.11500278
A09-30,5,121.4753333,25.11428889
A09-30,6,121.4781556,25.11363056
A09-31,1,121.48055,25.10968056
A09-31,2,121.48055,25.10968056
A09-31,5,121.4889139,25.10806667
A09-31,8,121.4909083,25.10173056
A09-32,1,121.5255083,25.08176389
A09-32,2,121.5266972,25.08181389
A09-32,3,121.5283472,25.08305278
A09-32,4,121.5297611,25.08451111
A09-32,5,121.5309833,25.08514722
A09-32,6,121.53203,25.08653
A09-32,7,121.5337333,25.08801667
A09-32,8,121.535175,25.08945833
A09-32,9,121.5368278,25.09073333
A09-32,10,121.5386111,25.09098056
A09-32,13,121.5405972,25.09154444
A09-33,1,121.49545,25.03921
A09-33,2,121.49747,25.04036
A09-33,3,121.49886,25.0421
A09-33,4,121.50028,25.04384
A09-33,5,121.49309,25.03842
A09-33,6,121.4904,25.03758
A09-33,7,121.48811,25.03662
A09-33,8,121.4876556,25.03120556
A09-35,1,121.5138917,25.04013056
A09-35,2,121.5149,25.04176111
A09-35,3,121.5153222,25.04315
A09-35,4,121.5171083,25.04107778
A09-35,5,121.5207028,25.04035
A09-35,6,121.5181833,25.03696667
A09-36,1,121.51126,25.03209
A09-36,3,121.50884,25.03134
A09-36,8,121.50794,25.03291
A09-36,11,121.5097,25.03176
A09-36,12,121.51397,25.02998
A09-36,13,121.51126,25.02966
A09-38,1,121.470734,25.183884
A09-38,2,121.478011,25.183687
A09-38,3,121.477717,25.181381
A09-38,4,121.474755,25.181428
A09-38,5,121.472963,25.177469
A09-38,6,121.469245,25.178469
A09-44,1,120.983441,24.79236
A09-44,2,120.98527,24.791424
A09-44,3,120.98534,24.793036
A09-44,4,120.98718,24.790782
A09-44,5,120.988709,24.792097
A09-44,6,120.986745,24.79439
A09-44,7,120.98722,24.79718
A09-45,1,121.50297,25.02724
A09-45,2,121.50411,25.02443
A09-45,3,121.50353,25.02274
A09-45,4,121.50339,25.02091
A09-45,5,121.50432,25.01847
A09-45,6,121.50644,25.02039
A09-45,7,121.50774,25.0217
A09-45,8,121.51076,25.02264
A09-45,9,121.50595,25.02283
A09-45,10,121.50619,25.02448
A09-46,1,121.0691389,24.73261111
A09-46,2,121.0683056,24.73588889
A09-46,3,121.0666667,24.73844444
A09-46,4,121.0641667,24.74016667
