,Site_N,Point,X_new,Y_new
998,A16-02,2,121.590094,24.170075
999,A16-02,3,121.58319,24.17623
1000,A16-02,4,121.576458,24.171048
1001,A16-02,5,121.575278,24.169021
1002,A16-02,6,121.571207,24.171844
1003,A16-03,1,121.51772,24.177462
1004,A16-03,2,121.51285,24.177686
1005,A16-03,3,121.514001,24.177673
1006,A16-03,4,121.514299,24.178286
1007,A16-03,5,121.516214,24.177395
1008,A16-03,6,121.508013,24.179066
1009,A16-04,1,121.492113,24.198395
1010,A16-04,2,121.487736,24.204504
1011,A16-04,3,121.48815,24.209893
1013,A16-04,6,121.483522,24.214729
1014,A16-04,7,121.487357,24.208487
1015,A16-04,8,121.485838,24.202514
1016,A16-04,9,121.486943,24.200434
1017,A16-04,10,121.484255,24.202907
1018,A16-05,1,121.484837,24.190274
1019,A16-05,2,121.480919,24.192634
1020,A16-05,3,121.477289,24.195986
1021,A16-05,4,121.472919,24.198663
1022,A16-05,5,121.46862,24.199534
1023,A16-05,6,121.461183,24.200957
1024,A16-05,7,121.458527,24.203998
1025,A16-05,8,121.452045,24.202745
1026,A16-05,9,121.45128,24.206557
1027,A17-01,1,121.60339,24.069286
1028,A17-01,2,121.60426,24.07137
1029,A17-01,4,121.60549,24.07645
1030,A17-01,5,121.60691,24.0777
1031,A17-01,8,121.61034,24.08303
