"Site_N","Year","BBS","Foresty"
"A28-06","2018","BBS",NA
"A28-06","2019","BBS",NA
"A28-06","2020","BBS",NA
"A28-06","2021","BBS",NA
"A28-06","2022","BBS",NA
"A28-08","2015","BBS",NA
"A28-08","2016","BBS",NA
"A28-08","2017","BBS",NA
"A28-08","2018","BBS",NA
"A28-08","2019","BBS",NA
"A28-08","2020","BBS",NA
"A28-08","2021","BBS",NA
"A28-08","2022","BBS",NA
"A28-09","2015","BBS",NA
"A28-09","2016","BBS",NA
"A28-09","2017","BBS",NA
"A28-09","2018","BBS",NA
"A28-09","2019","BBS",NA
"A28-09","2020","BBS",NA
"A28-09","2021","BBS",NA
"A28-09","2022","BBS",NA
"A28-10","2015","BBS",NA
"A28-10","2016","BBS",NA
"A28-10","2017","BBS",NA
"A28-10","2018","BBS",NA
"A28-10","2019","BBS",NA
"A28-10","2020","BBS",NA
"A28-10","2021","BBS",NA
"A28-10","2022","BBS",NA
"A28-12","2016","BBS",NA
"A28-12","2022","BBS",NA
"A28-13","2016","BBS",NA
"A28-14","2015","BBS",NA
"A28-14","2016","BBS",NA
"A28-14","2017","BBS",NA
"A28-14","2018","BBS",NA
"A28-14","2019","BBS",NA
"A28-14","2020","BBS",NA
"A28-14","2021","BBS",NA
"A28-14","2022","BBS",NA
"A29-01","2015","BBS",NA
"A29-01","2016","BBS",NA
"A29-01","2017","BBS",NA
"A29-01","2018","BBS",NA
"A29-01","2019","BBS",NA
"A29-01","2020","BBS",NA
"A29-01","2021","BBS",NA
"A29-01","2022","BBS",NA
"A29-02","2015","BBS",NA
"A29-02","2016","BBS",NA
"A29-02","2017","BBS",NA
"A29-02","2018","BBS",NA
"A29-02","2019","BBS",NA
"A29-02","2020","BBS",NA
"A29-02","2021","BBS",NA
"A29-02","2022","BBS",NA
"A29-03","2015","BBS",NA
"A29-03","2016","BBS",NA
"A29-03","2017","BBS",NA
"A29-03","2018","BBS",NA
"A29-03","2019","BBS",NA
"A29-03","2020","BBS",NA
"A29-03","2021","BBS",NA
"A29-03","2022","BBS",NA
"A29-04","2015","BBS",NA
"A29-04","2016","BBS",NA
"A29-04","2017","BBS",NA
"A29-04","2018","BBS",NA
"A29-04","2019","BBS",NA
"A29-04","2020","BBS",NA
"A29-04","2021","BBS",NA
"A29-04","2022","BBS",NA
"A29-05","2015","BBS",NA
"A29-05","2016","BBS",NA
"A29-05","2017","BBS",NA
"A29-05","2018","BBS",NA
"A29-05","2019","BBS",NA
"A29-05","2020","BBS",NA
"A29-05","2021","BBS",NA
"A29-05","2022","BBS",NA
"A29-06","2015","BBS",NA
"A29-06","2016","BBS",NA
"A29-06","2017","BBS",NA
"A29-06","2018","BBS",NA
"A29-06","2019","BBS",NA
"A29-06","2020","BBS",NA
"A29-06","2021","BBS",NA
"A29-06","2022","BBS",NA
"A29-07","2016","BBS",NA
"A29-07","2018","BBS",NA
"A29-07","2019","BBS",NA
"A29-07","2020","BBS",NA
"A29-07","2022","BBS",NA
"A29-08","2015","BBS",NA
