"transect","Site_N","Year","Macaca_sur","elevation","edge","P_forest","P_farmland","Shannon","edge_length"
"B14-02-8","B14-02",2018,0,1.46975779079585,NA,1.07542703798206,-0.494465891102436,-1.46838787453833,NA
"A02-01-3","A02-01",2018,0,-0.705650626920517,-0.328469801667592,0.753621728345298,-0.494465891102436,-0.477025362679333,-0.616185831320802
"C14-03-9","C14-03",2018,0,3.35421719710861,NA,0.980748402774137,-0.281958481018319,-1.13306885906177,NA
"A30-03-3","A30-03",2018,0,-0.403250073918151,-0.394126403034088,-1.4992012861376,2.29709603638903,1.46921529246374,-0.0677607897903996
"A28-06-8","A28-06",2018,0,0.0311793483801887,-0.314865169718661,-1.79167179981481,-0.484803797068903,-0.940175559465164,-0.0795990303537197
"C14-02-5","C14-02",2018,0,2.76714795068882,NA,1.07542703798206,-0.494465891102436,-1.46838787453833,NA
"A32-02-6","A32-02",2018,0,0.097994606042533,-0.534475477396788,0.873182257822931,-0.494465891102436,-0.766008434866656,-0.863566617430501
"A29-02-3","A29-02",2018,0,-0.545702155260367,-0.192646319873198,0.122970830436021,-0.494465891102436,0.631203572934324,0.393817493696925
"A02-03-8","A02-03",2018,0,-0.538667653100162,0.261146830478863,0.273405997374671,-0.494465891102436,0.349246330709005,0.290785433856158
"C14-01-5","C14-01",2018,0,2.77198246462492,NA,1.07542703798206,-0.494465891102436,-1.46838787453833,NA
"B11-01-5","B11-01",2018,0,0.957651948702943,NA,0.745487609042694,-0.494465891102436,-0.4597803594639,NA
"A34-08-9","A34-08",2019,0,-0.783653518597352,-0.308028679414527,-1.40680572324108,-0.494465891102436,1.03488235209841,0.192159765755981
"C14-01-2","C14-01",2019,0,2.71101071239546,NA,-0.0271387694591022,1.98025719369982,0.0713247863593177,NA
"C37-01-8","C37-01",2019,0,2.39796171587407,NA,1.07542703798206,-0.494465891102436,-1.46838787453833,NA
"A12-06-2","A12-06",2019,0,0.0161297908802685,-0.36990651636545,0.928147501890173,-0.494465891102436,-0.918062123621295,-0.833530136051828
"C30-02-3","C30-02",2019,0,2.51426305818638,NA,-0.847619454163393,1.66158026877969,1.60816150521299,NA
"B30-01-6","B30-01",2019,0,1.56603855774923,NA,0.769474224164181,-0.494465891102436,-0.512667210887055,NA
"A28-04-1","A28-04",2019,0,-0.56897721164781,0.250584948908461,0.75135636574846,-0.494465891102436,-0.471990682070352,-0.401803558469551
"C37-01-6","C37-01",2019,0,2.40834738934151,NA,1.07542703798206,-0.494465891102436,-1.46838787453833,NA
"B38-07-8","B38-07",2019,0,1.05267005436948,NA,0.864756522064625,-0.494465891102436,-0.743939791542048,NA
"A28-09-3","A28-09",2019,0,-0.691057220029627,0.166644609442905,0.309518703376676,0.271469364989132,0.665286025863093,0.0773725361395373
"A09-01-2","A09-01",2019,0,-0.394822094211658,-0.559167787452952,1.07542703798206,-0.494465891102436,-1.46838787453833,-1.17450961497402
"B30-02-9","B30-02",2019,0,0.322692575998447,NA,0.212704867291982,-0.494465891102436,0.545738000030832,NA
"A28-09-3","A28-09",2019,0,-0.691057220029627,0.166644609442905,0.309518703376676,0.271469364989132,0.665286025863093,0.0773725361395373
"A18-04-4","A18-04",2019,0,-0.673076240785391,-0.0165033755535212,-0.180445489855756,-0.494465891102436,0.794093372870058,0.418813730672626
"A26-04-4","A26-04",2019,0,-0.627957144135592,-0.49600941976213,-1.79167179981481,0.177994409181166,-0.694542103609487,-1.06258189279652
"A29-13-6","A29-13",2019,0,-0.283089083185795,7.87380276194479,-1.48237212622876,-0.494465891102436,0.268856363169157,1.713798882197
"A21-02-6","A21-02",2019,0,-0.622249005092917,-0.0216315333377203,-1.4532363406306,-0.494465891102436,0.149462643842252,0.405283619437953
"A29-06-6","A29-06",2019,0,-0.63775926333263,-0.066244124125189,-1.79167179981481,1.22888865424717,1.5682688933127,1.13833326667625
"C14-02-6","C14-02",2019,0,2.75623901218358,NA,1.07542703798206,-0.494465891102436,-1.46838787453833,NA
"B32-01-5","B32-01",2019,0,1.98656164290195,NA,0.120933989123966,0.222220496859233,0.83450268531276,NA
"A16-02-1","A16-02",2019,0,-0.692575826171909,0.182906262476784,-0.205489061656398,-0.494465891102436,0.399115461579249,-0.454293912302631
"A27-12-6","A27-12",2019,0,-0.745862407541997,0.494476786525624,-1.30787183497811,-0.470486042628357,0.751621777720715,0.959077808812732
"A39-01-4","A39-01",2019,0,-0.497400242141575,-0.218448001005113,0.477927023897284,0.271642497109856,0.186496819175144,-0.572390495194864
"A35-05-4","A35-05",2019,0,-0.664735851096093,-0.405865932352597,-1.79167179981481,-0.255629468232043,-0.273413056152636,-0.171693053213684
"B32-03-4","B32-03",2019,0,1.20955856309125,NA,0.577378113084496,-0.494465891102436,-0.125081262718127,NA
"B13-01-10","B13-01",2019,0,1.93972942201973,NA,0.159327626550507,-0.016381644731919,0.772739792240487,NA
"B14-04-8","B14-04",2019,0,1.66808661544521,NA,1.07542703798206,-0.494465891102436,-1.46838787453833,NA
"A37-04-6","A37-04",2019,0,-0.790106741552533,0.264453904241339,-1.79167179981481,4.11391277053296,0.487596237225917,1.43473590242813
"A20-03-3","A20-03",2019,0,-0.190046871803257,-0.672702817562911,1.07542703798206,-0.494465891102436,-1.46838787453833,-1.38217544867729
"C37-05-3","C37-05",2019,0,2.13810374797673,NA,0.0880369667365725,-0.494465891102436,0.570303561370896,NA
"A20-01-8","A20-01",2019,0,-0.620076317653397,0.0503762244523978,-0.82734849491844,-0.494465891102436,1.36865765222418,0.557633772151466
"A36-15-4","A36-15",2019,0,-0.722268842001117,-0.0224451008955752,-0.145302734901653,-0.369667862119769,1.01729587567686,0.562749832154861
"A09-17-5","A09-17",2019,0,-0.682300493375478,1.06940789931675,-1.70722289898167,1.56469588681832,1.3026612397555,2.35654772971823
"A19-03-10","A19-03",2019,0,-0.764698356356674,-0.247478022481708,-1.01805215961449,-0.494465891102436,1.17479244567303,0.0868895613116727
"A29-03-4","A29-03",2019,0,-0.288322871096387,-0.390999431612561,-0.783521569515309,-0.494465891102436,0.510849882255962,0.157126666511686
"A33-01-8","A33-01",2019,0,-0.614897131311966,0.0399863436202512,-0.659490761316105,-0.0447639025713417,1.28669478535643,1.29724840630834
"A19-01-2","A19-01",2020,0,-0.448857172092324,-0.633264481316804,1.07542703798206,-0.494465891102436,-1.46838787453833,-1.20175454240607
"A37-09-2","A37-09",2020,0,-0.742552642424705,0.46879700246033,-1.490318120824,3.02641099993741,1.29779219489432,1.1033827571201
"A37-02-6","A37-02",2020,0,-0.648819493685746,-0.157509059640376,-1.78695020619076,0.304004864024538,0.389815054772198,0.159178111518404
"A19-01-5","A19-01",2020,0,-0.416910704002546,-0.508426021983391,1.07542703798206,-0.494465891102436,-1.46838787453833,-1.12207110772864
"A04-06-1","A04-06",2020,0,-0.580864428267172,0.555094100010447,-0.8286100906395,-0.0810912121879956,1.89274350205529,1.60894982903607
"A19-06-9","A19-06",2020,0,-0.697053154843087,-0.0059757800723119,-1.79167179981481,3.60748094852034,0.785391158396968,0.978539982247349
"A33-07-10","A33-07",2020,0,-0.412654056673393,-0.487949014599423,0.123718266592177,-0.494465891102436,0.440143067764597,-0.359589982055299
"B32-02-7","B32-02",2020,0,0.913606682913305,NA,0.781473229386801,-0.494465891102436,-0.540136234086471,NA
"A29-13-2","A29-13",2020,0,-0.393428616665369,5.54740469269483,-0.480225772921723,-0.494465891102436,0.674222321997008,1.02792167339653
"A12-06-3","A12-06",2020,0,-0.0117329348493647,-0.139133157158923,0.927198200334416,-0.494465891102436,-0.915303083268956,-0.650470730606432
"B06-01-10","B06-01",2020,0,0.547457660383122,NA,1.07542703798206,-0.494465891102436,-1.46838787453833,NA
"A09-05-5","A09-05",2020,0,-0.477402417436466,-0.123652570247032,0.936520232852092,-0.494465891102436,-1.02023361356195,-0.634526981807788
"A18-04-6","A18-04",2020,0,-0.685661902476934,0.319758604379949,-1.38603638837157,-0.357356532078451,1.11700963580154,1.30728977933669
"A24-02-7","A24-02",2020,0,-0.549271732844248,-0.40112669962015,0.786142812356873,-0.494465891102436,-0.550944246955633,-0.923338778258115
"A02-01-2","A02-01",2020,0,-0.682398321186891,-0.256590572432346,0.763882538423873,-0.494465891102436,-0.500012268235635,-0.452207667678643
