"X","Y","NO"
121.17478,24.09132,933
121.17294,24.0892,934
121.17111,24.08726,935
121.17089,24.08518,936
121.16936,24.08318,937
121.16765,24.08129,938
121.16849,24.07939,939
121.16878,24.07758,940
121.1688,24.07571,941
121.16867,24.07361,942
121.56917,24.89228,943
121.56848,24.8944,944
121.56687,24.89554,945
121.56529,24.89713,946
121.56793,24.89728,947
121.56728,24.8993,948
121.56557,24.90122,949
121.56204,24.90157,950
121.55976,24.90344,951
121.55675,24.90459,952
121.54719,24.95143,953
121.54892,24.95014,954
121.55065,24.95219,955
121.55362,24.95146,956
121.55571,24.95289,957
121.5591,24.95419,958
121.56217,24.9535,959
121.56428,24.95301,960
121.76254,25.1602,961
121.76276,25.16165,962
121.76444,25.16227,963
121.76535,25.16282,964
121.76545,25.16154,965
121.65235,25.06107,966
121.6529,25.05865,967
121.6529,25.05688,968
121.65255,25.05488,969
121.65042,25.05548,970
121.65049,25.05352,971
120.28671,22.6556,972
120.2848,22.65686,973
120.28269,22.65667,974
120.28372,22.6589,975
120.28501,22.66084,976
120.28784,22.65986,977
120.28587,22.65912,978
120.28745,22.65796,979
120.3447,22.64552,980
120.34111,22.64528,981
120.34047,22.64313,982
120.34213,22.64269,983
120.34828,22.65021,984
120.34816,22.64665,985
120.3494,22.64266,986
120.34644,22.64194,987
121.37931,24.89187,988
121.38191,24.89217,989
121.38127,24.88988,990
121.3837,24.89334,991
121.38021,24.89405,992
121.38027,24.89662,993
121.38217,24.89458,994
121.38415,24.89522,995
121.38623,24.89384,996
121.38852,24.89311,997
120.68514,23.87897,998
120.68106,23.87855,999
120.67883,23.88122,1000
120.68203,23.88061,1001
120.68517,23.88123,1002
120.68697,23.88314,1003
120.68517,23.88533,1004
120.68131,23.88653,1005
120.67961,23.88427,1006
120.68228,23.88253,1007
120.77452,23.08166,1008
120.77689,23.08209,1009
120.77737,23.08628,1010
120.7795,23.08834,1011
120.78237,23.08914,1012
120.78524,23.09031,1013
120.78651,23.08872,1014
120.78711,23.08685,1015
120.78962,23.08423,1016
120.79169,23.0819,1017
120.71648,23.03981,1018
120.7173,23.04188,1019
120.718,23.0437,1020
120.71858,23.04562,1021
120.72057,23.04618,1022
120.7208,23.04799,1023
120.72165,23.04973,1024
120.72067,23.05199,1025
120.72055,23.05391,1026
120.72451,23.05634,1027
121.82501,24.71979,1028
121.82234,24.71913,1029
121.83117,24.71794,1030
121.83066,24.72015,1031
121.83256,24.71657,1032
121.82113,24.70514,1033
121.82345,24.70629,1034
121.8262,24.70613,1035
121.82957,24.70401,1036
121.82433,24.70093,1037
121.58775,25.08656,1038
121.58183,25.08997,1039
121.58364,25.08867,1040
121.57986,25.08892,1041
121.57117,25.08944,1042
121.57431,25.09206,1043
121.57675,25.09264,1044
121.57133,25.09322,1045
121.56972,25.092,1046
121.56797,25.08925,1047
121.4656,25.11515,1048
121.46775,25.11515,1049
121.47028,25.11528,1050
121.47278,25.115,1051
121.47533,25.11429,1052
121.47816,25.11363,1053
121.41267,24.57629,1054
121.41157,24.57805,1055
121.41119,24.5802,1056
121.41243,24.58176,1057
121.41237,24.58405,1058
121.41128,24.58654,1059
121.41068,24.58892,1060
121.41261,24.59043,1061
121.41492,24.59153,1062
121.41716,24.59131,1063
120.34626,23.71349,1064
120.34289,23.71393,1065
120.34005,23.71424,1066
120.33603,23.71249,1067
120.33749,23.70919,1068
120.33561,23.70834,1069
120.33975,23.70781,1070
120.34324,23.70744,1071
120.34092,23.71027,1072
120.34306,23.71139,1073
120.44496,23.58147,1074
120.44546,23.58391,1075
120.45323,23.58319,1076
120.4505,23.58053,1077
120.44593,23.58621,1078
120.45109,23.58783,1079
120.34507,23.51762,1080
120.34331,23.51693,1081
120.33848,23.51649,1082
120.33848,23.51879,1083
120.33894,23.52169,1084
120.34225,23.52157,1085
120.34488,23.52146,1086
121.59158,25.26769,1087
121.59158,25.26544,1088
121.59057,25.26346,1089
121.59022,25.2615,1090
121.58931,25.26614,1091
121.58958,25.26847,1092
121.59109,25.27022,1093
121.59334,25.26929,1094
121.59521,25.26764,1095
121.25512,24.82072,1096
121.25331,24.82257,1097
121.24814,24.82316,1098
121.24554,24.81885,1099
121.24214,24.8133,1100
121.24542,24.81322,1101
121.24714,24.81512,1102
121.25059,24.81824,1103
121.20666,24.15761,1104
121.20934,24.15691,1105
121.21249,24.15678,1106
121.2129,24.15874,1107
121.21753,24.16129,1108
121.21528,24.16177,1109
121.21308,24.1627,1110
121.21072,24.1635,1111
121.20819,24.16249,1112
121.20563,24.16416,1113
120.52122,22.74078,1114
120.51969,22.744,1115
120.52325,22.73827,1116
120.51973,22.73783,1117
120.515,22.73725,1118
120.52254,22.73417,1119
120.52829,22.73644,1120
121.44619,25.20588,1121
121.44343,25.20572,1122
121.43981,25.2051,1123
121.43718,25.20718,1124
121.44218,25.20782,1125
121.44465,25.21352,1126
121.44188,25.21134,1127
121.43897,25.21174,1128
121.43705,25.21002,1129
121.43569,25.21294,1130
121.43321,25.2148,1131
121.46381,25.16765,1132
121.4673,25.16649,1133
121.47075,25.16533,1134
121.47266,25.16332,1135
121.47702,25.16229,1136
121.47442,25.16602,1137
121.47944,25.16707,1138
121.48093,25.1656,1139
121.42415,25.18155,1140
121.42276,25.1772,1141
121.42959,25.17851,1142
121.42669,25.18117,1143
121.42794,25.18596,1144
121.43429,25.18417,1145
121.43006,25.19146,1146
121.42488,25.18807,1147
121.42266,25.18499,1148
121.41893,25.18531,1149
120.48923,23.47493,1150
120.49134,23.47488,1151
120.49328,23.47423,1152
