X,Y,NO,join_TypeName,join_FunctionTy,join_Function,join_Area_ha,distance
120.95195,24.53938,"228",針闊葉樹混淆,"2211",生產性人工林,103.541,3.41062435451099
120.94957,24.54101,"229",闊葉樹林型,"2221",經改造天然林,1533.24,4.19934983736924
120.95068,24.54282,"230",針闊葉樹混淆,"2211",生產性人工林,2468.55,0
120.94795,24.54276,"231",針葉樹林型,"2211",生產性人工林,65.4829,0
120.84254,24.57303,"232",闊葉樹林型,,生產性人工林,8971.7,298.354401120024
120.84312,24.57653,"233",闊葉樹林型,,生產性人工林,8971.7,369.73474293247
120.84331,24.58027,"234",闊葉樹林型,,經改造天然林,1717.9,257.514048947478
120.84347,24.58319,"235",闊葉樹林型,,經改造天然林,1379.89,49.196901955546
120.8418,24.58569,"236",闊葉樹林型,,經改造天然林,1379.89,171.516215529121
120.83809,24.5877,"237",闊葉樹林型,,經改造天然林,1379.89,416.358507941915
120.83447,24.58965,"238",闊葉樹林型,,經改造天然林,1379.89,81.6939729909514
120.83116,24.59015,"239",闊葉樹林型,,經改造天然林,1379.89,125.652368311044
120.82536,24.59331,"240",闊葉樹林型,,生產性人工林,8971.7,10.8970662970311
120.53382,22.95417,"241",闊葉樹林型,,經改造天然林,2558.7,68.7320308338044
120.53545,22.95857,"242",闊葉樹林型,,經改造天然林,2558.7,184.401422186246
120.53739,22.96006,"243",闊葉樹林型,,經改造天然林,2558.7,287.192797660578
120.54076,22.95916,"244",闊葉樹林型,,經改造天然林,2558.7,84.5653807285855
120.5422,22.96057,"245",闊葉樹林型,,經改造天然林,2558.7,92.4243047741293
120.55343,22.96249,"246",竹林,"2221",經改造天然林,108.153,74.3147249594299
120.55872,22.96091,"247",闊葉樹林型,"2221",經改造天然林,213771,15.3936862205765
121.48847,25.04667,"248",闊葉樹林型,,生產性人工林,0.128512,769.689297476249
121.48411,25.04864,"249",闊葉樹林型,,生產性人工林,0.316055,704.619563767123
121.48137,25.05218,"250",闊葉樹林型,,生產性人工林,0.206445,440.318814133533
121.47957,25.05561,"251",闊葉樹林型,,生產性人工林,0.138091,251.219840140796
121.47717,25.06052,"252",闊葉樹林型,,生產性人工林,0.535435,349.656791563327
121.47577,25.06362,"253",闊葉樹林型,,生產性人工林,0.178957,247.277625457755
121.47376,25.06364,"254",闊葉樹林型,,生產性人工林,0.178957,371.234806610389
121.47272,25.06549,"255",闊葉樹林型,,生產性人工林,0.178957,364.392304822128
121.45408,25.09814,"256",闊葉樹林型,,經改造天然林,365.401,318.017988435733
121.45207,25.09799,"257",闊葉樹林型,,經改造天然林,365.401,147.726000590639
121.4518,25.09577,"258",闊葉樹林型,,經改造天然林,365.401,358.364822432903
121.45428,25.09496,"259",闊葉樹林型,,經改造天然林,365.401,548.377818863554
121.45335,25.09187,"260",闊葉樹林型,,經改造天然林,365.401,710.029234163483
121.45259,25.09013,"261",闊葉樹林型,,經改造天然林,365.401,809.827421707553
121.45097,25.08896,"262",闊葉樹林型,,經改造天然林,365.401,740.757108711271
121.45016,25.09064,"263",闊葉樹林型,,經改造天然林,365.401,577.815118726262
121.45409,24.94487,"264",闊葉樹林型,"2221",經改造天然林,103298,0
121.45582,24.94599,"265",闊葉樹林型,"2221",經改造天然林,213771,0
121.45771,24.94682,"266",闊葉樹林型,"2221",經改造天然林,103298,0
121.45956,24.94773,"267",闊葉樹林型,"2221",經改造天然林,213771,0
121.46206,24.94738,"268",闊葉樹林型,"2221",經改造天然林,103298,0
121.46351,24.94886,"269",闊葉樹林型,"2221",經改造天然林,103298,0
120.23761,22.9405,"270",闊葉樹林型,,生產性人工林,23.3002,55.4086150074589
120.23878,22.94169,"271",闊葉樹林型,,生產性人工林,23.3002,53.2928598844872
120.23983,22.94303,"272",闊葉樹林型,,生產性人工林,23.3002,99.2947487405646
120.24078,22.94408,"273",闊葉樹林型,,生產性人工林,23.3002,228.853395716706
120.24128,22.94528,"274",闊葉樹林型,,生產性人工林,23.3002,241.161660348912
120.24178,22.94664,"275",闊葉樹林型,,生產性人工林,23.3002,248.992788243246
120.24147,22.94789,"276",闊葉樹林型,,生產性人工林,23.3002,231.125178475298
120.24097,22.94914,"277",闊葉樹林型,,生產性人工林,23.3002,280.213228462301
120.24158,22.95083,"278",闊葉樹林型,,生產性人工林,21.5679,389.823677288263
120.24142,22.95264,"279",闊葉樹林型,,生產性人工林,21.5679,289.695270008337
120.56988,23.02052,"280",闊葉樹林型,"2221",經改造天然林,103298,46.7610723741377
120.56944,23.02228,"281",闊葉樹林型,"2221",經改造天然林,103298,26.8436546558737
120.56912,23.02382,"282",闊葉樹林型,"2221",經改造天然林,46290.7,0
120.57129,23.0217,"283",闊葉樹林型,"2221",經改造天然林,103298,0
120.57238,23.02381,"284",闊葉樹林型,"2221",經改造天然林,46290.7,66.8547650094437
120.57333,23.02485,"285",竹林,,經改造天然林,3231.53,53.222931416648
120.57058,23.02442,"286",竹闊混淆林,"2211",生產性人工林,2286.28,0
120.57222,23.02779,"287",竹林,"2211",生產性人工林,16093.4,0
121.55744,24.97881,"288",闊葉樹林型,,原生林,3208.01,284.379021555607
121.55894,24.98028,"289",竹林,,經改造天然林,0.331338,413.555541911085
121.56144,24.97994,"290",竹林,,經改造天然林,4.07808,260.331168842218
121.56369,24.98097,"291",竹林,,經改造天然林,4.07808,246.83155861542
121.56586,24.98142,"292",竹林,,經改造天然林,0.484207,213.154629281367
121.56806,24.98111,"293",竹林,,經改造天然林,0.484207,144.678847477208
121.57025,24.98206,"294",竹林,,經改造天然林,0.484207,357.956008881442
121.57189,24.986,"295",竹林,,經改造天然林,0.527963,537.524413467287
121.57192,24.98778,"296",竹林,,經改造天然林,0.290568,463.471192916111
121.57228,24.99092,"297",竹林,,經改造天然林,0.290568,195.094571255187
121.5725,24.99308,"298",竹林,,經改造天然林,37.8174,149.837755463939
121.57319,24.99525,"299",竹林,,經改造天然林,36.7844,128.075309746644
121.57522,24.99681,"300",竹林,,經改造天然林,36.7844,162.132937638243
121.57619,24.99864,"301",竹林,,經改造天然林,2.40734,164.812999460185
121.57836,24.99944,"302",竹林,,經改造天然林,3.9597,133.367759949813
121.58075,24.99942,"303",竹林,,經改造天然林,0.441816,203.710280771046
121.57628,24.96992,"304",闊葉樹林型,,原生林,3208.01,0
121.57597,24.96828,"305",闊葉樹林型,,原生林,3208.01,9.65437794425632
121.57747,24.96808,"306",闊葉樹林型,,經改造天然林,42.2977,10.3123623925345
121.57881,24.97019,"307",竹林,,生產性人工林,203.755,0
121.58003,24.97128,"308",闊葉樹林型,,原生林,3208.01,17.165920039301
121.57942,24.97325,"309",闊葉樹林型,,原生林,3208.01,0
120.45728,23.84502,"310",針葉樹林型,,生產性人工林,0.309275,7.06299711684831
120.45785,23.84105,"311",闊葉樹林型,,生產性人工林,0.231706,16.3889118808265
120.45479,23.84077,"312",闊葉樹林型,,生產性人工林,0.385239,161.157146019517
120.45498,23.83871,"313",闊葉樹林型,,生產性人工林,0.432447,121.347773460507
120.45882,23.83727,"314",闊葉樹林型,,生產性人工林,0.231706,260.913314175968
120.4544,23.83457,"315",闊葉樹林型,,生產性人工林,0.432447,468.559288159144
120.45701,23.83329,"316",闊葉樹林型,,生產性人工林,0.432447,569.019349470456
120.45323,23.8318,"317",闊葉樹林型,,生產性人工林,0.432447,797.610605204483
120.46258,23.83793,"318",闊葉樹林型,,生產性人工林,0.231706,515.497650460306
121.52487,25.18947,"319",闊葉樹林型,"2221",經改造天然林,213771,0
121.52446,25.19135,"320",闊葉樹林型,"2221",經改造天然林,213771,0
121.52478,25.19334,"321",闊葉樹林型,"2221",經改造天然林,213771,0
121.5235,25.19489,"322",闊葉樹林型,"2221",經改造天然林,213771,0
121.52214,25.19638,"323",闊葉樹林型,"2221",經改造天然林,213771,0
121.52119,25.19807,"324",闊葉樹林型,"2221",經改造天然林,213771,0
121.75369,24.6815,"325",闊葉樹林型,,生產性人工林,0.176639,352.150734384196
121.75372,24.68327,"326",闊葉樹林型,,生產性人工林,0.176639,546.095134030682
121.75176,24.68388,"327",闊葉樹林型,,生產性人工林,0.176639,608.64017918568
121.75017,24.68291,"328",竹林,,生產性人工林,1.48287,520.74336161718
121.74979,24.68483,"329",竹林,,生產性人工林,1.48287,437.56498595334
121.75201,24.68604,"330",竹林,,生產性人工林,1.48287,632.488046897036
121.75379,24.68509,"331",闊葉樹林型,,生產性人工林,0.176639,747.094718426428
121.75547,24.68428,"332",闊葉樹林型,,生產性人工林,0.176639,699.290627450961
121.75701,24.68274,"333",闊葉樹林型,,生產性人工林,0.176639,630.487495165285
121.75584,24.68121,"334",闊葉樹林型,,生產性人工林,0.176639,424.975818119782
120.68333,24.03333,"335",闊葉樹林型,,經改造天然林,1789.38,192.228068879109
120.69411,24.04306,"336",闊葉樹林型,,經改造天然林,997.041,6.46354794016084
120.6961,24.04235,"337",闊葉樹林型,,經改造天然林,997.041,6.16000847335611
120.6986,24.04154,"338",闊葉樹林型,,經改造天然林,997.041,12.8899964029302
120.70069,24.04154,"339",闊葉樹林型,,經改造天然林,997.041,66.8997533582236
120.70312,24.04211,"340",闊葉樹林型,,經改造天然林,2465.49,36.0898083192178
120.69583,24.04005,"341",闊葉樹林型,"2221",經改造天然林,213771,186.457135150074
120.69445,24.04597,"342",竹林,,生產性人工林,801.96,10.4523006731675
120.37411,23.90143,"343",闊葉樹林型,,生產性人工林,0.203941,124.565637008956
120.37297,23.90411,"344",闊葉樹林型,,生產性人工林,1.40807,189.141812255379
120.36997,23.9043,"345",闊葉樹林型,,生產性人工林,1.40807,336.203706780372
120.36505,23.90398,"346",闊葉樹林型,,生產性人工林,0.17769,249.931778979172
120.36542,23.90194,"347",闊葉樹林型,,生產性人工林,0.240077,101.378245169451
