Site_N,Point,Year,Survey,Macaca_sur,Macaca_dist,Time,TypeName,Distance,Do.survey,TypeName.1,Altitude,County,x,y,Pointid
C30-03,10,2017,2,0,B,B,針葉樹林型,4.84990975,1,針葉林,C,南投縣,121.245039,24.118722,C30-03-10
A34-49,8,2017,1,0,C,A,闊葉樹林型,2.89966284,1,闊葉林,A,高雄市,120.4503861,22.82395,A34-49-08
A35-15,8,2017,1,1,A,A,竹闊混淆林,4.20187353,1,混淆林,A,台南市,120.508138,23.263576,A35-15-08
A35-15,2,2017,2,1,B,B,竹闊混淆林,0,1,混淆林,A,台南市,120.499548,23.26065,A35-15-02
A26-01,4,2017,2,1,A,A,闊葉樹林型,1.52354048,1,闊葉林,A,屏東縣,120.8556222,22.02270556,A26-01-04
A26-02,1,2017,2,1,A,A,闊葉樹林型,17.23302809,1,闊葉林,A,屏東縣,120.8460278,21.98898056,A26-02-01
A26-04,1,2017,2,0,A,A,闊葉樹林型,0,1,闊葉林,A,屏東縣,120.8246778,21.96288333,A26-04-01
A26-04,2,2017,2,1,A,A,闊葉樹林型,0,1,闊葉林,A,屏東縣,120.8224083,21.95935,A26-04-02
A26-04,4,2017,2,1,A,A,闊葉樹林型,0,1,闊葉林,A,屏東縣,120.8221,21.95655,A26-04-04
A26-04,6,2017,2,0,A,A,闊葉樹林型,0,1,闊葉林,A,屏東縣,120.8231611,21.95323611,A26-04-06
A26-04,2,2017,1,1,A,B,闊葉樹林型,0,1,闊葉林,A,屏東縣,120.8224083,21.95935,A26-04-02
A26-04,6,2017,1,1,A,B,闊葉樹林型,0,1,闊葉林,A,屏東縣,120.8231611,21.95323611,A26-04-06
B14-02,2,2017,2,1,B,A,闊葉樹林型,0,1,闊葉林,B,台中市,121.30533,24.383863,B14-02-02
A17-03,1,2017,2,1,B,B,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.51285,23.92189,A17-03-01
B14-02,5,2017,2,1,B,A,闊葉樹林型,0,1,闊葉林,B,台中市,121.304178,24.380488,B14-02-05
A33-27,5,2017,2,1,B,A,闊葉樹林型,3.86763683,1,闊葉林,A,雲林縣,120.628475,23.72708,A33-27-05
A33-27,9,2017,2,0,B,B,竹林,0.81704991,1,竹林,A,雲林縣,120.637788,23.721829,A33-27-09
A33-28,7,2017,1,0,B,A,闊葉樹林型,0,1,闊葉林,A,雲林縣,120.621692,23.756176,A33-28-07
A33-28,8,2017,1,0,B,B,闊葉樹林型,0,1,闊葉林,A,雲林縣,120.623466,23.756821,A33-28-08
A33-28,1,2017,2,0,B,A,竹林,0,1,竹林,A,雲林縣,120.616556,23.751467,A33-28-01
A33-28,2,2017,2,0,B,A,闊葉樹林型,1.0681796,1,闊葉林,A,雲林縣,120.617547,23.75482,A33-28-02
A33-28,6,2017,2,1,A,A,竹闊混淆林,0,1,混淆林,A,雲林縣,120.620586,23.758801,A33-28-06
A04-49,2,2018,1,1,A,B,闊葉樹林型,0,1,闊葉林,A,新北市,121.568475,24.89440278,A04-49-02
A04-49,2,2018,2,1,C,A,闊葉樹林型,0,1,闊葉林,A,新北市,121.568475,24.89440278,A04-49-02
A05-15,2,2018,2,1,A,B,闊葉樹林型,8.2679,1,闊葉林,A,宜蘭縣,121.5851944,24.75977778,A05-15-02
A05-21,2,2018,2,1,B,A,闊葉樹林型,0.84541156,1,闊葉林,A,新北市,121.50065,24.93746,A05-21-02
A05-21,2,2018,2,1,B,B,闊葉樹林型,0.84541156,1,闊葉林,A,新北市,121.50065,24.93746,A05-21-02
A17-03,3,2018,1,1,A,A,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.51629,23.92006,A17-03-03
A17-03,6,2018,1,1,A,A,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.52258,23.92148,A17-03-06
A17-09,7,2018,1,0,A,A,闊葉樹林型,37.8955904,1,闊葉林,A,花蓮縣,121.4648,23.83379,A17-09-07
A17-14,2,2018,1,1,B,A,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.5742806,24.02192222,A17-14-02
A17-14,3,2018,1,1,B,B,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.5738111,24.01759167,A17-14-03
A17-18,3,2018,1,0,A,A,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.51002,23.92218,A17-18-03
A17-18,4,2018,1,0,A,B,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.51361,23.92398,A17-18-04
A18-01,9,2018,1,0,B,B,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.3763,23.713779,A18-01-09
A18-03,7,2018,1,1,B,A,竹闊混淆林,66.12670668,1,混淆林,A,花蓮縣,121.37056,23.61245,A18-03-07
A19-01,2,2018,1,0,B,A,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.3512278,23.590325,A19-01-02
A19-01,6,2018,1,0,B,A,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.343025,23.58951389,A19-01-06
A19-01,5,2018,2,0,B,B,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.3452778,23.58882222,A19-01-05
A19-01,6,2018,2,1,B,A,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.343025,23.58951389,A19-01-06
