nid,原始紀錄物種,數量,數量單位,觀測年,觀測月,觀測日,觀測時,觀測分,原始X座標,原始Y座標,經度(十進位),緯度(十進位),原始空間參考系統,樣區代碼,樣點代號,地點,記錄者,觀測方式,照片檔名
23064198,臺灣獼猴,1,群,2024,5,3,10,19,297770,2591322,121.4674625,23.4240847,TWD97,MA-H34-12,6,成功事業區61林班,黃蘭鑑;張福俊,人為觀測,
23064199,臺灣獼猴,1,群,2024,6,13,5,36,297263,2727038,121.4669095,24.64951102,TWD97,MB-A01-03,8,明池,賴伯書,人為觀測,
23064200,臺灣獼猴,1,群,2024,6,21,7,14,249062,2713764,120.9907422,24.5303866,TWD97,MB-B06-11,7,紅毛山（大坪）,郭祐程;盧國雄;趙淑枝,人為觀測,
23064201,臺灣獼猴,1,群,2024,6,19,9,36,266483,2724063,121.162802,24.62328736,TWD97,MB-B08-01,4,羅山林道(下),江丸松,人為觀測,
23064202,臺灣獼猴,1,群,2024,6,11,10,11,280654,2720893,121.3026984,24.59444971,TWD97,MB-B08-06,6,泰崗※,樂歐幸伐杜;吳洵顯,人為觀測,
23064203,臺灣獼猴,1,群,2024,6,18,9,10,249461,2683934,120.9946915,24.26104846,TWD97,MB-C11-02,1,220林道,蕭明泉,人為觀測,
23064204,臺灣獼猴,1,群,2024,6,18,9,57,243707,2680817,120.9380352,24.23289166,TWD97,MB-C11-04,7,橫嶺山,梁盛棟,人為觀測,
23064205,臺灣獼猴,1,群,2024,6,25,10,44,250891,2683511,121.008775,24.25722892,TWD97,MB-C11-07,6,船形山苗圃,蕭欣瑀;呂沛靜,人為觀測,
23064206,臺灣獼猴,1,群,2024,6,13,5,54,247694,2682435,120.9772911,24.24751197,TWD97,MB-C11-11,3,大雪山210林道B※,楊景文;劉昀杰,人為觀測,
23064207,臺灣獼猴,1,群,2024,6,17,9,36,230421,2603237,120.8082484,23.53226082,TWD97,MB-E20-09,5,塔山步道,黃安志,人為觀測,
23064208,臺灣獼猴,1,群,2024,6,19,10,16,219149,2587889,120.6981697,23.393492,TWD97,MB-E21-08,4,里佳,謝坤宏,人為觀測,
23064209,臺灣獼猴,1,群,2024,6,12,9,33,213516,2588726,120.6430398,23.4009341,TWD97,MB-E22-01,5,龍美,許宏成,人為觀測,
23064210,臺灣獼猴,1,群,2024,6,25,6,51,271177,2706923,121.2089079,24.46847522,TWD97,MC-B08-16,1,大霸A,李正雄;羅海君,人為觀測,
23064211,臺灣獼猴,1,群,2024,6,25,7,53,271967,2706823,121.2166995,24.46756135,TWD97,MC-B08-16,4,大霸A,李正雄;羅海君,人為觀測,
23064212,臺灣獼猴,1,群,2024,6,17,10,7,238020,2596710,120.8827231,23.473395,TWD97,MC-E20-05,4,鹿林前山,陳盈達,人為觀測,
